geo,2005_HDI,2005_Desemprego,2005_Veiculos
Australia,0.915,5.1,671.0
Canada,0.891,6.7,
Czech Republic,0.847,8.3,
Estonia,0.822,7.9,477.0
Finland,0.869,8.3,531.0
France,0.87,9.9,596.0
Germany,0.892,11.1,585.0
Ireland,0.896,4.3,
Japan,0.873,4.4,
Latvia,0.807,8.6,377.0
Lithuania,0.807,8.2,467.0
Netherlands,0.893,5.2,
New Zealand,0.888,3.7,720.0
Norway,0.931,4.6,546.0
Philippines,0.646,7.8,34.0
Poland,0.803,17.7,386.0
Portugal,0.793,7.6,
Romania,0.755,7.5,181.0
Singapore,0.839,,137.0
Slovak Republic,0.793,,
Slovenia,0.858,6.5,518.0
South Korea,0.86,3.7,319.0
Spain,0.844,9.2,
Sweden,0.892,7.8,513.0
Switzerland,0.904,4.4,563.0
Turkey,0.687,10.3,117.0
United Kingdom,0.89,4.6,517.0
United States,0.898,5.1,675.0
